[2026-01-17 08:23:53] Controller::beforeRoute URI: /edsa-Ecrivain/logout | SessionID: 6kht7u5s82elshd0cejo6a73qm | UserID: 1
[2026-01-17 08:23:55] Controller::beforeRoute URI: /edsa-Ecrivain/ | SessionID: 6kht7u5s82elshd0cejo6a73qm | UserID: NULL
[2026-01-17 08:23:59] Controller::beforeRoute URI: /edsa-Ecrivain/ | SessionID: 6kht7u5s82elshd0cejo6a73qm | UserID: NULL
[2026-01-17 08:24:04] Controller::beforeRoute URI: /edsa-Ecrivain/login | SessionID: 6kht7u5s82elshd0cejo6a73qm | UserID: NULL
[2026-01-17 08:24:04] Authenticate called.
[2026-01-17 08:24:04] Username: Daniel
[2026-01-17 08:24:05] User authenticated. Old SessionID: 6kht7u5s82elshd0cejo6a73qm
[2026-01-17 08:24:05] New SessionID: q78ai9vpctldpkoc9vrhvb31ub | Set UserID: 1
[2026-01-17 08:24:07] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:24:09] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:10] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:12] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:14] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:16] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:22] Controller::beforeRoute URI: /edsa-Ecrivain/theme | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:24] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:26] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:31] Controller::beforeRoute URI: /edsa-Ecrivain/theme | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:33] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:36] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:41] Controller::beforeRoute URI: /edsa-Ecrivain/theme | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:43] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:32:45] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:00] Controller::beforeRoute URI: /edsa-Ecrivain/ | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:15] Controller::beforeRoute URI: /edsa-Ecrivain/login | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:17] Controller::beforeRoute URI: /edsa-Ecrivain/dashboard | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:20] Controller::beforeRoute URI: /edsa-Ecrivain/auth/tokens | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:29] Controller::beforeRoute URI: /edsa-Ecrivain/project/1 | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:43] Controller::beforeRoute URI: /edsa-Ecrivain/chapter/22 | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:49] Controller::beforeRoute URI: /edsa-Ecrivain/project/1 | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:52:58] Controller::beforeRoute URI: /edsa-Ecrivain/chapter/20 | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:53:15] Controller::beforeRoute URI: /edsa-Ecrivain/chapter/20/save | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:53:16] Controller::beforeRoute URI: /edsa-Ecrivain/chapter/20 | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:53:34] Controller::beforeRoute URI: /edsa-Ecrivain/chapter/20/save | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
[2026-01-17 08:53:36] Controller::beforeRoute URI: /edsa-Ecrivain/chapter/20 | SessionID: q78ai9vpctldpkoc9vrhvb31ub | UserID: 1
